Sample,SiO2 min,SiO2 max,MgO min,MgO max,Na2O min,Na2O max,K2O min,K2O max,Cs min,Cs max,Rb min,Rb max,Ba min,Ba max,Th min,Th max,Ce min,Ce max,Pb min,Pb max,Nd min,Nd max,Sr min,Sr max,Nb min,Nb max,Sm min,Sm max,Zr min,Zr max,Yb min,Yb max,Ti min,Ti max,Nd143_Nd144 min,Nd143_Nd144 max,Sr87_Sr86 min,Sr87_Sr86 max,Pb206_Pb204 min,Pb206_Pb204 max,Pb207_Pb204 min,Pb207_Pb204 max,Pb208_Pb204 min,Pb208_Pb204 max
E-11-03,68.6,71.6,-1.248,1.752,2.8,5.8,2.62,5.62,0.97,2.91,43.5,130.5,480.5,1441.5,2.775,8.325,24.6,73.80000000000001,7.15,21.450000000000003,12.55,37.650000000000006,82.5,247.5,2.785,8.355,2.9,8.7,114.5,343.5,2.35,7.050000000000001,887.0363738809241,2661.109121642772,0.5124270599999999,0.51345294,0.703747548,0.705156452,18.291085,18.474915,15.457325,15.612675,38.2677,38.652300000000004
E-11-06,48.1,51.1,6.08,9.08,1.0699999999999998,4.07,-0.737,2.263,0.16399999999999998,0.49200000000000005,5.2,15.600000000000001,143,429,1.44,4.32,19.1,57.300000000000004,3.275,9.825,10.9,32.7,407.5,1222.5,0.525,1.5750000000000002,2.265,6.795,23,69,0.74,2.2199999999999998,2307.4932698929442,6922.479809678833,0.512414073,0.5134399270000001,0.7034888069999999,0.704897193,18.464215,18.649784999999998,15.49016,15.64584,38.338345,38.723655
E-11-07,47.4,50.4,4.97,7.97,1.1800000000000002,4.18,-0.687,2.3129999999999997,0.2125,0.6375,6.35,19.049999999999997,168,504,1.215,3.6450000000000005,17.6,52.800000000000004,5.1,15.299999999999999,10,30,442.5,1327.5,0.615,1.845,2.15,6.449999999999999,22.8,68.4,0.765,2.295,2340.457459462844,7021.372378388532,0.512419068,0.5134449320000001,0.703450845,0.704859155,18.44133,18.626669999999997,15.487174999999999,15.642825,38.31347,38.69853
E-11-08,45.2,48.2,3.08,6.08,2.08,5.08,-0.10000000000000009,2.9,0.138,0.41400000000000003,18.3,54.900000000000006,160,480,1.945,5.835,43.5,130.5,4.53,13.59,25.5,76.5,352,1056,24.85,74.55000000000001,6.2,18.6,202,606,1.6,4.800000000000001,10368.735991986478,31106.207975959434,0.512341146,0.513366854,0.704585709,0.705996291,18.75177,18.94023,15.50807,15.66393,38.62789,39.016110000000005
E-11-10,48.7,51.7,6.83,9.83,1.04,4.04,-0.527,2.473,0.23199999999999998,0.6960000000000001,8.4,25.200000000000003,161.5,484.5,2.08,6.24,26,78,3.955,11.865,14.55,43.650000000000006,455.5,1366.5,0.615,1.845,2.795,8.385,27.55,82.65,0.735,2.205,2034.7895198146878,6104.368559444063,0.512411076,0.5134369240000001,0.703472823,0.7048811770000001,18.47118,18.65682,15.491155000000001,15.646845,38.33536,38.720639999999996
E-11-11,47.7,50.7,4.29,7.29,1.5299999999999998,4.529999999999999,-0.28,2.7199999999999998,0.1145,0.3435,6.7,20.1,165.5,496.5,0.73,2.19,14.2,42.599999999999994,2.595,7.785,9,27,441.5,1324.5,0.545,1.6350000000000002,2.09,6.27,19.8,59.400000000000006,0.855,2.565,2415.376072121706,7246.128216365118,0.512426061,0.5134519390000001,0.703441854,0.7048501460000001,18.45128,18.63672,15.4822,15.6378,38.32939,38.71461
E-11-13,47.5,50.5,4.09,7.09,1.8399999999999999,4.84,-0.702,2.298,0.1165,0.34950000000000003,4.62,13.86,164.5,493.5,0.2645,0.7935000000000001,10.75,32.25,2.325,6.9750000000000005,7.2,21.6,455,1365,0.39,1.17,1.8,5.4,14.8,44.400000000000006,0.8,2.4000000000000004,2589.187253490265,7767.561760470795,0.512438049,0.5134639510000001,0.70341588,0.7048241199999999,18.219445,18.402555,15.458319999999999,15.61368,38.069695,38.452305
E-11-16,47.6,50.6,4.01,7.01,1.88,4.88,-0.741,2.259,0.111,0.333,4.88,14.64,169.5,508.5,0.273,0.8190000000000001,11.15,33.45,1.48,4.4399999999999995,7.6,22.799999999999997,463.5,1390.5,0.39899999999999997,1.197,1.87,5.61,15.25,45.75,0.865,2.5949999999999998,2544.236085894948,7632.708257684843,0.512438049,0.5134639510000001,0.703421874,0.7048301260000001,18.424415,18.609585,15.47026,15.62574,38.326405,38.711594999999996
E-11-18,45.4,48.4,6.47,9.469999999999999,1.1,4.1,-0.799,2.201,0.1075,0.3225,4.9,14.700000000000001,112,336,0.358,1.0739999999999998,7.05,21.15,1.655,4.965,5.25,15.75,297,891,0.2855,0.8564999999999999,1.405,4.215,14.6,43.8,0.815,2.445,2121.695110498967,6365.085331496901,0.5124410460000001,0.513466954,0.703446849,0.704855151,18.41944,18.60456,15.477224999999999,15.632775,38.30153,38.68647
E-11-19,44.6,47.6,6.45,9.45,0.6099999999999999,3.61,-0.879,2.121,NA,NA,3.55,10.649999999999999,102.5,307.5,0.2755,0.8265,7.2,21.6,NA,NA,8.1,24.299999999999997,302,906,0.293,0.879,1.25,3.75,13.85,41.55,0.745,2.235,2001.8253302447881,6005.475990734364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
