Sample,Type,Location,Li,Sc,V,Cr    ,Co,Ni      ,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
E-11-03,Artefact,Emae,22.2,11.4,1,4.55,1.19,8.37,23.2,93.5,3.81,87,165,41.8,229,5.57,0.351,1.94,961,23.7,49.2,6.32,25.1,5.8,1.15,5.99,1.04,6.63,1.44,4.45,0.699,4.7,0.742,6.46,0.311,14.3,5.55,2.04
E-11-06,Artefact,Emae,5.08,36.9,348,101,38.9,1030,106,111,0.371,10.4,815,16,46,1.05,0.219,0.328,286,17.7,38.2,5.14,21.8,4.53,1.44,3.96,0.534,3.01,0.598,1.57,0.225,1.48,0.214,1.37,0.048,6.55,2.88,0.576
E-11-07,Artefact,Emae,5.46,35.2,368,469,79.3,3810,251,301,0.588,12.7,885,16.8,45.6,1.23,0.221,0.425,336,16.4,35.2,4.67,20,4.3,1.44,3.87,0.567,3.17,0.622,1.67,0.254,1.53,0.217,1.41,0.092,10.2,2.43,0.587
E-11-08,Artefact,Emae,8.22,16,229,85.5,49.4,5090,21.7,284,1.18,36.6,704,45.5,404,49.7,0.587,0.276,320,36.9,87,11.8,51,12.4,4.2,12.3,1.83,9.68,1.72,4.13,0.543,3.2,0.43,9.79,3.28,9.06,3.89,1.11
E-11-08dup,Artefact,Emae,8.2,17.1,230,,50.1,,20.7,284,1.19,36.4,703,45.3,402,49.4,0.558,0.274,320,36.6,86.6,11.7,50.8,12,4.24,12.3,1.81,9.47,1.73,4.13,0.557,3.16,0.421,9.79,3.24,9.11,3.9,1.1
E-11-10,Source,Emae,5.57,35.2,309,199,34.2,63.4,173,135,1.24,16.8,911,15.9,55.1,1.23,0.184,0.464,323,24.7,52,6.87,29.1,5.59,1.68,4.52,0.587,3.1,0.57,1.56,0.211,1.47,0.198,1.57,0.071,7.91,4.16,0.965
E-11-11,Source,Emae,6.34,32.3,345,27.7,33.7,29.2,167,96.1,1.03,13.4,883,18.4,39.6,1.09,0.235,0.229,331,13,28.4,3.97,18,4.18,1.42,4.02,0.582,3.33,0.672,1.84,0.259,1.71,0.252,1.25,0.065,5.19,1.46,0.438
E-11-13,Source,Emae,5.56,27.5,367,7.12,36.3,23.9,167,102,0.502,9.24,910,18,29.6,0.78,0.162,0.233,329,9.77,21.5,3.09,14.4,3.6,1.36,3.73,0.559,3.25,0.666,1.85,0.264,1.6,0.24,0.94,0.041,4.65,0.529,0.194
E-11-16,Source,Emae,5.98,26.5,365,6.61,36.3,23.1,127,111,0.668,9.76,927,18.3,30.5,0.798,0.159,0.222,339,10.1,22.3,3.26,15.2,3.74,1.41,3.8,0.575,3.33,0.67,1.8,0.254,1.73,0.255,1.01,0.05,2.96,0.546,0.221
E-11-18,Source,Emae,5.53,42.8,371,101,49,55.9,155,83.3,0.813,9.8,594,16.2,29.2,0.571,0.214,0.215,224,6.41,14.1,2.15,10.5,2.81,1.06,2.99,0.485,2.96,0.604,1.66,0.234,1.63,0.226,0.974,0.034,3.31,0.716,0.254
E-11-19,Source,Emae,,45.2,379,90.6,45.8,62.5,,,,7.1,604,14.9,27.7,0.586,,,205,6.14,14.4,,16.2,2.5,0.852,2.81,,2.7,,1.94,,1.49,,,,,0.551,
