Sample,Artefact,Archipelago,Location,Locality,Site,Latitude,Longitude,Type,Provenance,Campaign,Collection_location
E-11-03,18-582,Vanuatu,Emae,Tongamea,TP-1,-17.064306,168.415611,Flake,Layer:1  Spit:4  55-68cmbd,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
E-11-06,18-164,Vanuatu,Emae,Tongamea,TP-4,-17.064333,168.415333,Adze fragment (distal),Layer: 1-3,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
E-11-07,18-811,Vanuatu,Emae,Tongamea,Finongi titi,-17.064222,168.413083,Adze,Subsurface found by Nicholas Jacob,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
E-11-08,18-812,Vanuatu,Emae,Makatea,Kamali tiketike,-17.05966,168.424575,Adze fragment (distal),Subsurface found by Melten Kalo,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
E-11-10,-,Vanuatu,Emae,Tongamea,Leotasirua,-17.0605,168.419417,Geological,Surface,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
E-11-11,-,Vanuatu,Emae,Tongamea,Shore,-17.065028,168.415333,Geological,Surface,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
E-11-13,-,Vanuatu,Emae,Tongamea,Shore,-17.065028,168.415333,Geological,Surface,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
E-11-16,-,Vanuatu,Emae,Tongamea,Stream,-17.065028,168.415333,Geological,Surface,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
E-11-18,-,Vanuatu,Emae,Reisu,Shore,-17.043806,168.419917,Geological,Surface,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
E-11-19,-,Vanuatu,Emae,Reisu,Shore,-17.039111,168.413111,Geological,Surface,Hermann & Bedford 2018,Vanuatu Cultural Center (Port-Vila)
T-12-06,78.76,Solomon,Taumako,Kongo,SE-DF-17,-9.864424,167.180793,Adze fragment (distal),Surface found by Robinson Teiku,Leach & Davidson 1977-1978,Te Papa Tongarewa (Wellington)
T-12-07,A172,Solomon,Taumako,Kahula,SE-DF-2,-9.894769,167.189692,Adze,Square A (J52) Spit: 9,Leach & Davidson 1977-1978,Te Papa Tongarewa (Wellington)
T-12-08,A138,Solomon,Taumako,Kahula,SE-DF-2,-9.894769,167.189692,Adze,Square L51  Spit: 10,Leach & Davidson 1977-1978,Te Papa Tongarewa (Wellington)
T-12-09,78.77,Solomon,Taumako,Kahula,SE-DF-2,-9.894769,167.189692,Adze,Surface,Leach & Davidson 1977-1978,Te Papa Tongarewa (Wellington)
T-12-10,A57,Solomon,Taumako,Kahula,SE-DF-2,-9.894769,167.189692,Adze flake,Surface,Leach & Davidson 1977-1978,Te Papa Tongarewa (Wellington)
K-12-24,79.551,Carolines,Kapingamarangi,Muri-harau,KA-2,1.078411,154.807214,Oven stone,Layer 7  Spit: 4,Leach & Ward 1979-1980,Te Papa Tongarewa (Wellington)
K-12-25,79.44,Carolines,Kapingamarangi,Muri-harau,KA-2,1.078411,154.807214,Oven stone,Layer 4,Leach & Ward 1979-1980,Te Papa Tongarewa (Wellington)
K-12-26,79.549,Carolines,Kapingamarangi,Muri-harau,KA-2,1.078411,154.807214,Flake,Layer 2  Spit: 2,Leach & Ward 1979-1980,Te Papa Tongarewa (Wellington)
K-12-28,79.43b,Carolines,Kapingamarangi,Muri-harau,KA-2,1.078411,154.807214,Flake,Layer 5,Leach & Ward 1979-1980,Te Papa Tongarewa (Wellington)
K-12-29,79.555,Carolines,Kapingamarangi,Putau,KA-3,1.078718,154.808383,Flake,Spit 21,Leach & Ward 1979-1980,Te Papa Tongarewa (Wellington)
