Sample,Site,long,lat,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,serie,ISGN
FU2-DR15-01,Fatu Kapa,-177.15,-14.67,49.14961655,1.383084642,15.15379695,11.07469949,,11.30521359,10.37313481,2.084649315,0.140312935,0.090201172,,27.8,213.2,533,56.43,369.1,,,,1.87,137.6,21,59,2.461,,0.033,16.1,2.3,6.45,1.12,6.24,2.316,0.9416,3.4,0.5992,3.893,0.8009,2.175,,1.93,0.283,1.79,0.181,0.32,0.133,0.145,,,,,,3,BFBG-155001
FU2-DR15-02,Fatu Kapa,-177.15,-14.67,47.05144662,1.29837188,14.15612922,10.7454807,,11.65627889,9.718410412,1.928179135,0.135650793,0.087204081,,27.2,210.1,538,59.89,419.9,,,,1.75,135.8,21.09,58,2.36,,0.019,15.7,2.3,6.46,1.056,5.94,2.313,0.9213,3.358,0.5833,3.81,0.7725,2.174,,1.87,0.275,1.74,0.184,0.35,0.135,0.074,0.70374,0.512955,18.621,15.559,38.519,3,BFBG-155001
FU2-DR26-01,Fatu Kapa,-177.14,-14.67,52.0343745,2.168098938,15.46510939,10.58191408,,4.873249906,9.249229413,3.461001974,1.074104061,0.298362239,,30.4,289.7,16,35.84,17.2,,,,18.17,260.2,32.35,176,24.915,,0.271,197.8,18.6,38.05,4.948,21.07,5.275,1.7171,5.721,0.937,5.888,1.1888,3.349,,3.103,0.455,4.16,1.694,1.65,2.002,0.653,0.70378,0.512946,18.84,15.573,38.716,4,BFBG-155035
FU2-DR26-02,Fatu Kapa,-177.14,-14.67,49.68962794,1.651649599,14.8448264,11.5415272,,6.986978304,11.99197709,2.822819315,0.490489881,0.150149964,,,,,,,,,,6.661074253,207.6021391,27.4434804,95.85020272,8.981160115,,0.08911041,80.25838939,7.226672615,17.10168448,2.466967134,11.83879941,3.458301261,1.298806429,4.322620565,0.728888187,4.775148956,0.988743978,2.835779195,,2.610032183,0.380482504,2.500553516,0.602212664,0.731179227,0.702653053,0.231855158,,,,,,1A,BFBG-155036
FU2-DR26-03,Fatu Kapa,-177.14,-14.67,51.76111363,2.152146399,15.41375222,10.75076836,,5.091420417,9.156585837,3.367710569,0.94654587,0.298909222,,,,,,,,,,19.47850684,255.8300183,32.31821686,176.228399,25.82581173,,0.225653321,192.1854989,17.84699651,38.27825034,4.870397338,20.75454679,5.037624459,1.693733925,5.624745699,0.903882966,5.703857534,1.166963728,3.315662051,,3.0150266,0.442412429,4.170219119,1.623267655,1.819148127,1.958860075,0.56900444,0.70375,0.51294,18.842,15.575,38.722,4,BFBG-155037
FU2-DR27-01,Fatu Kapa,-177.169,-14.732,62.64200801,1.033598101,13.6156673,8.348292357,,1.30193607,3.577839582,5.436328476,1.858488894,0.248461082,,,,,,,,,,34.62124911,95.42300199,90.33803051,518.1359959,36.39826441,,0.347866836,314.9305632,28.77243099,67.06474044,9.320563954,40.62174693,10.84313805,2.52941203,12.56137291,2.259885054,14.71615132,3.123410417,9.989576424,,9.459812643,1.375039405,12.32981542,2.240803563,2.043133578,3.730848804,1.185874356,,,,,,1B(a),BFBG-155038
FU2-DR27-02,Fatu Kapa,-177.169,-14.732,62.5907674,1.01401815,13.65942097,8.271206874,,1.302317429,3.549063527,5.408096802,1.86897463,0.24853386,,,,,,,,,,29.84084732,88.68828895,90.08833587,538.5855833,39.06241207,,0.349037415,301.1365897,25.12927497,60.40929892,8.392376538,37.2003769,10.01862223,2.312657429,11.27391656,2.073854051,13.86542774,3.006463473,9.005117181,,8.979239386,1.329941239,12.37465324,2.273310037,2.019532999,3.387530251,1.050182423,,,,,,1B(a),BFBG-155039
FU2-DR27-03,Fatu Kapa,-177.169,-14.732,62.64826862,1.033701402,13.74624076,8.378945018,,1.341823935,3.617954907,5.45675067,1.858674636,0.248485914,,11.9,46,30,9.089452953,0.102274647,,,,37.49,98.3,97.76,517,37.176,,0.342,319,30.5,70.48,9.775,43.77,11.88,2.7221,14.159,2.4269,16.412,3.5398,10.57,,10.545,1.559,12.99,2.476,2.27,4.241,1.273,,,,,,1B(a),BFBG-155040
FU2-DR27-04,Fatu Kapa,-177.169,-14.732,63.01846767,1.023801604,13.72689335,8.30969069,,1.302116603,3.54851624,5.447022127,1.878626244,0.248495535,,,,,,,,,,33.95584426,87.72192948,79.6407022,538.0234511,39.36357363,,0.348336701,315.9143876,24.95245018,58.5428237,8.302897938,36.17114125,9.862950485,2.262456889,10.91365067,1.9860243,13.17571502,2.798890953,8.548996045,,8.315221304,1.18366591,12.37016737,2.379573569,2.089383259,3.226106011,1.169592392,,,,,,1B(a),BFBG-155041
FU2-DR27-05,Fatu Kapa,-177.169,-14.732,60.57015402,1.143020629,14.04424477,8.935439525,,2.057437132,4.641657684,5.078987316,1.669804049,0.258422055,,15,76.1,50,11.42880365,0.901623663,,,,34.79,111.8,89.44,457,32.985,,0.312,290.9,27.5,63.67,8.66,39.48,10.793,2.6071,12.817,2.2364,14.884,3.2084,9.63,,9.594,1.429,11.43,2.218,2.43,3.722,1.142,,,,,,1B(a),BFBG-155042
FU2-DR27-06,Fatu Kapa,-177.169,-14.732,62.61044693,1.032258478,13.69727596,8.337472324,,1.310174222,3.622830236,5.409431448,1.856080148,0.248139057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B(a),BFBG-155043
FU3-CV01-01,Fatu Kapa,-177.16598,-14.73718,49.35030287,1.417765425,15.53508923,11.35217847,,7.762517077,11.70410606,2.533878631,0.341872514,0.140771035,,,,,,,,,,6.299949471,136.5260325,32.79562249,96.05526564,6.97407907,,0.063694489,60.96699257,6.042068086,13.62149433,2.239285794,10.61785267,3.325723598,1.186311784,4.253947748,0.756018779,5.014699514,1.031490467,3.024157273,,2.914190059,0.418432385,2.441205939,0.455023469,0.714733541,0.560239064,0.161471533,0.70354,0.513028,18.512,15.538,38.371,1A,BFBG-154736
