Sample,Site,long,lat,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Sr87_Sr86,Nd143_Nd144,Nd143_Nd144_Replicate ,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204
s140-1A,"N of Fiji, 100 km N of Viti Levu ",-16.417,177.417,55.23,1.76,14.34,10.89,0.21,3.65,7.92,3.56,0.34,0.21,,,,,,,,,,8.2,133.2,63.8,191.4,4.94,,,63.4,9.21,21.6,3.07,15.9,5.7,1.91,7.72,1.45,9.55,2.05,5.92,0.87,5.4,0.85,4.79,0.41,1.34,1.34,0.4,0.703531,0.513159,0.513133,18.5221,15.5302,38.3955
s142-1,"N of Fiji, 100 km N of Viti Levu ",-16.417,177.417,50.12,1.61,15.86,9.47,0.16,7.53,11.39,2.78,0.3,0.17,,,,,,,,,,7.96,172.7,40.2,119.7,9.4,,,75.5,8.87,19,2.55,12.4,4,1.46,5.18,0.95,6.18,1.3,3.7,0.52,3.34,0.52,2.88,0.64,0.82,1.03,0.18,0.703024,0.513102,0.513086,18.4446,15.5298,38.2873
s162-1,"N of Fiji, 100 km N of Viti Levu ",-16.417,177.417,50.04,0.75,16.38,8.56,0.16,9.16,13.16,1.94,0.05,0.06,,,,,,,,,,0.92,59.9,24,26.5,1.07,,,9.5,1.19,3.14,0.53,3.23,1.58,0.68,2.57,0.52,3.57,0.78,2.27,0.32,2.03,0.32,0.9,0.08,0.14,0.1,0.02,0.702892,0.513218,0.513228,18.2692,15.4896,38.0941
s164-1,"N of Fiji, 100 km N of Viti Levu ",-16.417,177.417,53.84,1.75,14.69,10.36,0.2,4.19,8.31,3.61,0.57,0.29,,,,,,,,,,8.13,183.3,53,160,9.59,,,114,11.9,24.7,3.29,15.8,5.11,1.76,6.6,1.2,7.86,1.71,4.81,0.69,4.36,0.7,3.92,0.64,1.44,1.04,0.31,0.703668,0.513069,,18.6439,15.5473,38.4589
s231-1A,"N of Fiji, 300 km N of Viti Levu ",-14.48,177.687,50.34,2.49,12.48,16.24,0.29,5.03,9.47,3.05,0.19,0.21,,,,,,,,,,2.97,101.2,94.9,238,5.97,,,28.3,8.64,24.3,3.9,21.6,8.46,2.72,11.51,2.18,14.38,3.08,8.81,1.28,8.21,1.3,6.26,0.44,1.05,0.58,0.15,,0.513045,0.513037,18.3777,15.5077,38.2666
s13-2,"N of Fiji, 300 km N of Viti Levu ",-14.48,177.687,50.8,2.08,13.28,13.99,0.18,5.97,10.94,2.71,0.19,0.21,,,,,,,,,,2.4,125,53.9,116.9,4.25,,,29.2,5.14,13.6,2.17,12.2,4.84,1.76,6.68,1.24,8.14,1.78,4.95,0.71,4.56,0.72,3.21,0.31,0.63,0.42,0.11,0.70408,0.512905,0.512899,18.406,15.5584,38.383
s13-4,"N of Fiji, 300 km N of Viti Levu ",-14.48,177.687,51.02,2,13.29,13.74,0.22,6.17,10.77,2.77,0.17,0.22,,,,,,,,,,2.39,120.6,52.7,114.4,4.17,,,29,5.01,13.3,2.15,12,4.74,1.72,6.48,1.24,8.07,1.73,4.9,0.71,4.47,0.71,3.15,0.31,0.62,0.42,0.1,0.704082,0.512896,0.512888,18.3928,15.5484,38.3533
s126-18,"N. Fiji Basin, Manatu ",-13.368,179.277,,,,,,,,,,,,,,,,,,,,2.01,102,36.6,71.9,1.77,,,26.1,2.87,7.85,1.27,7.3,2.94,1.13,4.21,0.82,5.5,1.22,3.49,0.5,3.16,0.5,2,0.13,0.46,0.2,0.06,0.703572,0.513007,,18.4122,15.5312,38.2498
s127-05,Wallis Island ,-13.085,-176.21,,,,,,,,,,,,,,,,,,,,23.1,334.2,25.4,135,21.8,,,190.3,15.8,32,3.91,17.4,4.57,1.62,4.82,0.77,4.53,0.84,2.16,0.29,1.72,0.26,3.27,1.62,1.54,1.71,0.35,0.704794,0.512772,,18.671,15.5693,38.7674
s127-05g,Wallis Island ,-13.085,-176.21,47.05,1.82,13.48,11.6,0.18,13.01,9.14,2.59,0.92,0.2,,,,,,,,,,17.2,293.1,18.7,105.1,18.5,,,161.5,13.5,27.3,3.39,14.9,3.99,1.39,4.07,0.65,3.79,0.74,1.8,0.24,1.43,0.21,2.86,1.35,1.45,1.46,0.34,,0.512775,,18.6659,15.5773,38.7915
