Sample,Site,long,lat,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204
ROT-4,"Rotuma, Oinafa Basalt 1 ",-12.51,177.04,50.43,2.09,17.51,10.37,0.16,6.49,7.93,2.9,1.44,0.41,,23.70097016,232.1669528,,,,59.29443759,89.35922285,,44.99269109,407.3376067,29.37451742,175.4635488,34.46670398,,0.45704225,433.3220152,27.24451233,47.9309193,5.961505195,24.57110073,5.812429042,1.98463294,5.943332737,0.959669308,5.564782617,1.09835907,2.808664893,0.384128114,2.315905167,0.350578794,3.988764346,2.199011601,2.025360014,3.903411129,0.897257006,0.703517,0.512988,18.8449,15.5701,38.5608
ROT-12,"Rotuma, Oinafa Basalt 2",-12.48,177.09,48.36,2.22,17.1,9.7,0.16,7.43,9.62,3.03,1.63,0.47,,22.4012333,231.4401421,,,,43.33347342,82.72754016,,46.28676576,544.6817436,23.62960451,174.3327268,46.81879067,,0.749157515,534.1036423,33.26197332,61.47485873,7.162018887,28.20676528,6.304724143,2.093460149,5.975400615,0.918371225,5.096665791,0.961622938,2.351123435,0.319611665,1.907411815,0.282494086,3.968275743,2.849510912,2.537476031,4.746399101,1.244507488,0.703632,0.512944,18.8723,15.5691,38.6424
ROT-13,"Rotuma, Oinafa Basalt 1 ",-12.48,177.06,49.27,1.99,17.56,8.52,0.15,7.85,9.29,2.9,1.78,0.42,,,237.3378295,,,,44.68703903,70.50621714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703539,0.512962,18.8583,15.564,38.5959
ROT-3,"Rotuma, Oinafa Basalt 2",-12.49,177.02,48.97,1.88,16.58,8.55,0.15,8.62,10.52,2.72,1.35,0.38,,29.13483615,229.831097,,,,50.6407502,67.19638007,,36.90068494,464.6201832,23.7912919,152.021672,39.15843655,,0.381250062,461.422218,28.03462826,51.18729289,5.91842578,23.3870754,5.254985331,1.803642291,5.307591061,0.854423255,4.935048296,0.960263017,2.442462052,0.344464968,2.108088021,0.311423205,3.558136137,2.388962922,2.021734685,4.143984059,0.894784057,0.70359,0.512974,18.8831,15.5606,38.6401
ROT-15,"Rotuma, Oinafa Basalt 1 ",-12.51,177.01,48.8,1.84,16.52,8.51,0.15,9.1,10.12,2.84,1.45,0.38,,,220.1355138,,,,49.35773852,72.06229824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703564,0.512953,18.8806,15.5608,38.6461
ROT-6,"Rotuma, Oinafa Basalt 2",-12.52,177.09,49.84,2.05,18.09,8.74,0.15,6.7,8.34,3.3,1.95,0.55,,,213.284682,,,,37.87298092,82.72256358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703574,0.512951,18.8524,15.561,38.6136
ROT-8,"Rotuma, Oinafa Basalt 1 ",-12.51,177.14,47.94,2.06,16.43,9.27,0.16,8.63,10.35,2.91,1.49,0.46,,26.27160259,232.9939669,,,,46.99037989,83.21213105,,46.18437908,517.0535845,23.11450421,182.6678228,49.90531746,,0.737019665,598.0751071,37.36620617,67.17536579,7.564221861,28.75003524,6.112216393,2.015147631,5.67476038,0.867679047,4.92703778,0.931819285,2.298357212,0.311346598,1.883996347,0.288440005,4.120158841,3.048268627,2.635871274,5.726834905,1.274188001,0.703602,0.512949,18.898,15.5709,38.6531
ROT-11,"Rotuma, Oinafa Basalt 2",-12.48,177.09,51.01,2.24,17.16,9,0.14,7.08,8.64,2.54,1.43,0.48,,23.15878526,239.5999488,,,,43.56362706,78.5465397,,41.94595328,536.5829468,23.47399306,173.5413063,46.19889989,,0.660446161,530.213045,32.82608705,60.81778142,7.036083006,27.63668178,6.214128205,2.046953582,5.861302827,0.901402324,5.106562108,0.936729786,2.369292613,0.313414815,1.888386119,0.276123365,3.938091926,2.788885809,2.462703985,4.639882796,0.978266857,0.703646,0.512946,18.8739,15.5678,38.6406
FJ-12-3,"Fiji (Taveuni, Type I FOIB)",-17,179.93,47.72,1.6,17.28,9.8,0.17,8.2,10.98,2.75,0.85,0.4,,,220.8506512,,,,63.10018605,78.87523256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703651,0.512922,18.7568,15.5766,38.5096
FJ-12-5,"Fiji (Taveuni, Type I FOIB)",-16.96,179.91,47.42,1.44,15.26,9.71,0.16,11.66,11.12,1.89,0.68,0.31,,34.57795686,228.8606308,,,,78.54962329,70.79163581,,9.844432042,412.7354465,21.51789336,106.5269136,26.06269562,,0.071884076,301.4662509,19.61891405,37.65951448,4.606978414,18.64921366,4.243077317,1.489902352,4.342731603,0.710669638,4.252492798,0.849414946,2.244757232,0.321310673,1.996433528,0.310295377,2.480563807,1.641570214,1.396226295,2.579168458,0.577679785,0.703691,0.512889,18.7927,15.5779,38.5411
