 ,AC-E (n=1), ,JB-2 (n=2), ,WS-E (n=2), 
 ,Measured value,Reference value,Measured value,Reference value,Measured value,Reference value
SiO2,64.0,70.35,52.76,53.25,51.3,51.1
TiO2,0.10,0.11,1.1,1.19,2.41,2.4
Al2O3,12.6,14.7,14.71,14.64,13.3,13.8
Fe2O3,2.33,2.53,14.27,14.25,13.0,13.2
MnO,0.05,0.058,0.2,0.218,0.17,0.175
MgO,<LD,0.03,4.5,4.62,5.35,5.55
CaO,0.22,0.34,9.7,9.82,8.67,9
Na2O,5.67,6.54,2.0,2.04,2.45,2.45
K2O,3.93,4.49,0.4,0.42,0.97,0.99
P2O5,<LD,0.014,0.1,0.101,0.30,0.305
Rb,168,152,3.8,7.37,24.5,25
Sr   ,<LD,3,175,178,393,405
Ba  ,41.3,55,217,222,337,335
Sc,0.48,0.11,53.7,53.5,27.3,28
V     ,2.46,3,596,575,348,340
Cr    ,<LD,3.4,23.4,28.1,97.0,96
Co    ,<LD,0.2,37.0,38,43.6,45
Ni      ,0.73,1.5,14.7,16.6,57.6,53
Y      ,165,184,24.0,24.9,31.8,30.5
Zr  ,727,780,48.2,51.2,199,190
Nb  ,96.9,110,0.70,1.58,16.9,17.5
La,53.8,59,2.57,2.35,25.7,27
Ce,140,154,5.38,6.76,59.1,60
Nd,135,92,5.66,6.63,29.6,33.4
Sm,22.9,24.2,1.85,2.31,8.66,8.8
Eu,1.85,2,0.63,0.86,2.11,2.2
Gd,24.8,26,3.07,3.28,6.94,7.2
Dy,26.3,29,4.04,3.73,5.80,6
Er,15.2,17.7,2.61,2.6,2.58,3.02
Yb,16.1,17.4,2.55,2.62,2.44,2.48
Th,16.4,18.5,0.10,0.35,3.04,3
