Sample,Site,long,lat,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204
M14-1,"M14, Caroline Plateau",,,48.94,1.995,17.07,9.78,0.101,3.49,8.11,4.17,1.25,0.338,40.233024,18.81545,253.526,,27.4023,66.466,81.5104,108.348734,,24.9546,322.181,45.529409,152.948614,30.386106,0.2587,0.27462,287.6147,14.8812996,33.1932,3.8687988,17.53986,4.71232,1.73159253,5.8267797,1.0086912,7.26912772,1.67568945,4.8216904,0.74890864,4.67885616,0.70496745,3.5017433,1.97036467,1.6289145,2.44372,0.55123,0.703406968,0.512968406,18.35071075,15.49819856,38.42987131
M14-2,"M14, Caroline Plateau",,,46.4,1.852,16.24,12.27,0.47,5.5,7.93,3.48,1.17,0.236,31.715424,27.6785,215.715,,82.1096,147.3954,122.6522,110.614318,,32.899,319.337,40.218929,152.1825,28.43301,0.39794,2.0291,260.83785,17.5471643,42.4338,4.1775426,18.25402,4.70042,1.69099875,5.7531683,0.9626208,6.83007077,1.5574623,4.5037746,0.70258868,4.41456512,0.6711199,3.38313025,1.83268312,2.31869,2.56888,0.64616,0.7034128,0.512951233,18.43310724,15.52538431,38.50175594
M14-3,"M14, Caroline Plateau",,,45.83,1.821,16.7,10.85,0.134,6.13,8.77,3.36,0.65,0.295,66.268592,28.7754,222.681,,36.218,111.7385,128.8525,140.796878,,13.19171,314.221,39.108873,136.960954,27.483492,0.26467,1.23579,184.112014,15.9465466,30.5067,3.7185936,16.22248,4.21681,1.55199105,5.19392985,0.888336,6.35364016,1.4556054,4.15093105,0.64440976,4.05345488,0.623865,3.12909789,1.79062787,1.788612,2.41785,0.65272,0.703394034,0.512964049,18.44379209,15.50459004,38.56653863
M14-4,"M14, Caroline Plateau",,,46.84,1.768,16.44,9.76,0.119,6.69,7.61,3.64,1.04,0.309,61.094592,25.3526,208.353,,23.9795,134.0265,97.9677,105.661836,,12.37979,284.769,41.668411,133.496961,26.509188,0.26069,0.42188,291.86136,15.8239427,30.4271,3.6962658,16.24238,4.28049,1.6007958,5.3136582,0.90744,6.59088,1.49264925,4.32007906,0.68141978,4.16222032,0.6488196,3.06917501,1.74569367,1.7737069,2.33427,1.04475,0.703387869,0.512980737,18.51158626,15.50503426,38.55944363
M14-5,"M14, Caroline Plateau",,,45.85,2.067,17.16,10.21,0.109,6.47,8.17,3.52,0.25,0.224,83.054608,29.1305,395.241,,40.2143,89.8072,350.378,166.89848,,7.38108,182.9233,30.136974,116.086768,9.1603344,0.20503,0.68208,34.321413,6.3108234,17.4377,2.4412374,12.47435,3.94226,1.47564963,4.67408515,0.8126496,5.65558,1.18033335,3.21494551,0.48635958,2.93031312,0.4115419,2.86343477,0.63713986,0.9622403,0.56231,0.53998,0.70285474,0.513116738,18.3758354,15.48531033,38.08332443
M14-6,"M14, Caroline Plateau",,,47.02,1.344,15.48,10.04,0.11,6.98,6.9,3.81,1.4,0.296,71.4688,16.57,186.7,,27.84,154.06,103.56,91.848,,29.76,274.2,19.20798,117.2758,33.7008,0.268,0.7,383.344,17.67298,31.98,3.4782,13.73,3.15,1.20663,3.71304,0.54912,3.596,0.73146,1.928598,0.291004,1.743136,0.26334,2.580222,2.129294,0.9416,3.164,1.158,0.703479671,0.512937492,18.34770388,15.50723366,38.43264688
M14-7,"M14, Caroline Plateau",,,45.78,2.087,15.29,11.12,0.183,5.29,5.68,3.09,2.07,0.23,32.793488,17.81034,126.553,,35.653,165.3976,196.44096,89.396312,,43.9148,292.79496,13.8405148,185.271168,59.893,0.3838,0.71912,410.69024,14.1569478,36.4408,3.1812576,13.15222,2.9088,1.0502586,3.2370298,0.4401984,2.70478,0.5618226,1.46634022,0.220988,1.28740256,0.1919,4.245636,3.9225976,2.9416654,5.0803,0.67468,0.70347001,0.512923941,18.39491743,15.51337917,38.55575365
M14-8,"M14, Caroline Plateau",,,45.54,1.482,16.5,6.61,0.071,3.29,13.02,3.46,1.69,0.44,39.2912,19.688,167.32,,21.52,99.42,47.532,66.4264,,34,433.784,23.3914,122.6632,46.144,0.282,0.332,526.524,28.288,45.448,5.3067,20.8472,4.355128,1.57122,5.0094,0.679536,4.30705,0.89571,2.398,0.354456,2.078,0.315248,2.782626,3.05772,2.28552,4.314,0.76,0.703540544,0.512913529,18.43947735,15.51307081,38.62334966
M14-9,"M14, Caroline Plateau",,,48.06,1.64,16.7,7.02,0.227,4.64,9.32,3.89,1.79,0.432,51.344384,12.11707,193.0936,,42.9142,121.9015,91.223328,128.613086,,39.8895,442.51158,26.375384,166.186356,52.1304,0.35931,0.39788,522.00841,27.392008,55.5611,6.0026694,24.4818,5.1765,1.7524584,5.8004408,0.7873152,4.74614,1.0047282,2.578303,0.38642268,2.24479024,0.33292,3.5719068,3.18111556,1.32606705,4.20616,1.0962,0.703489293,0.512933226,18.49781295,15.53406985,38.63585967
M14-10,"M14, Caroline Plateau",,,48.8,1.331,17.07,8.39,0.097,5.22,7.22,4.21,1.36,0.299,59.200544,11.10192,182.0828,,30.1182,140.491,77.800704,92.002112,,28.1184,317.66924,19.937299,120.080112,35.1884,0.23432,0.24846,352.30012,17.1295192,33.229,3.4120224,13.7663,3.18958,1.23653088,3.8176889,0.5604288,3.55722,0.774165,2.00116956,0.2983338,1.75859584,0.26462,2.620647,2.12321998,2.128979,3.1714,0.59186,0.703441337,0.512933683,18.32482067,15.50249567,38.47878082
